Title,Year,Km,Power,Fuel Type,Price,Link
Mercedes-Benz ML 320 CDI Aut,2008,344549,224,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-ml-320-cdi-aut-ID7HpDcL.html
Dacia Sandero Stepway 0.9 TCe Prestige,2017,70000,90,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/dacia-sandero-stepway-0-9-tce-prestige-ID7HrTjF.html
Renault Clio Estate TCe Zen,2017,65500,90,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/renault-clio-estate-tce-zen-ID7Hs15T.html
BMW Seria 3 318d,2014,201000,143,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-318d-ID7Hr1nd.html
Audi A6 2.0 TDI DPF Multitronic Avant,2011,175000,170,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/audi-a6-2-0-tdi-dpf-multitronic-avant-ID7HptcM.html
SsangYong Korando 2.0 e-XDI DLX Plus,2014,110450,149,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/ssangyong-korando-2-0-e-xdi-dlx-plus-ID7Hs4Yj.html
Audi Q5 2.0 TDI Quattro S-Tronic,2010,345000,170,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/audi-q5-2-0-tdi-quattro-s-tronic-ID7Hs5sZ.html
Volvo V60 D3 Geartronic Kinetic,2014,250000,136,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/volvo-v60-d3-geartronic-kinetic-ID7HrCoZ.html
Peugeot 208 1.6 BlueHDi FAP Active,2016,95000,75,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-208-1-6-bluehdi-fap-active-ID7HrSjX.html
Mercedes-Benz A 200,2012,252000,156,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-200-ID7HqHyV.html
BMW X1 xDrive18d,2012,217443,143,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive18d-ID7HqCCs.html
Skoda RAPID 1.6 TDI Ambition,2015,150000,115,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/skoda-rapid-1-6-tdi-ambition-ID7HqNOS.html
Toyota Auris,2014,330000,99,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/toyota-auris-ID7HqGJE.html
Opel Astra,2019,139000,135,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-ID7Hnxwm.html
Aixam City,2019,38200,8,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/aixam-city-ID7Hs3Qm.html
Audi A4,2010,239000,143,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-ID7HhNJi.html
Fiat Tipo 1.3 Mjet,2017,65000,95,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/fiat-tipo-1-3-mjet-ID7Hs5gw.html
Nissan Qashqai+2 +2 1.6 dCi 2WD Stop&Start Acenta SP,2013,244765,130,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-2-2-1-6-dci-2wd-stop-start-acenta-sp-ID7Hs5f4.html
Fiat Tipo,2019,46232,95,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/fiat-tipo-ID7HrUqJ.html
Skoda Octavia 1.6 TDI GREENLINE,2014,255780,110,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-1-6-tdi-greenline-ID7Hs58r.html
BMW X1 xDrive23d Aut.,2010,229000,204,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive23d-aut-ID7HoE29.html
Nissan X-Trail,2014,262000,130,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/nissan-x-trail-ID7HoDjQ.html
Ford Focus,2017,235000,120,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-ID7Hs9TA.html
Audi A3 Sportback 2.0 TDI Attraction,2013,165000,150,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/audi-a3-sportback-2-0-tdi-attraction-ID7Hs9RX.html
Ford Transit 300 K TDCi Pkw DPF Trend,2010,320000,115,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/ford-transit-300-k-tdci-pkw-dpf-trend-ID7Hs9Sc.html
Peugeot 308 1.6 THP Allure,2014,201000,125,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-308-1-6-thp-allure-ID7Hr0fr.html
Peugeot 2008,2014,181000,115,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-2008-ID7Hs29h.html
Volkswagen Tiguan 2.0 TDI DPF 4Motion BlueMotion Technology CityScape,2009,167500,140,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-2-0-tdi-dpf-4motion-bluemotion-technology-cityscape-ID7HleJF.html
Audi A4,2012,271000,136,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-ID7HgoPa.html
Dacia Dokker,2017,148850,75,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/dacia-dokker-ID7HrRsH.html
Audi A4,2011,147800,211,Benzina,8 300EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-ID7Hp7Tm.html
Opel Astra 1.6 CDTI Sports Tourer Active,2019,148000,110,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-cdti-sports-tourer-active-ID7HseIP.html
Ford Transit Custom  DCIV 270 2.0 TDCI SWB L1H1 Base,2017,268000,105,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/ford-transit-custom-dciv-270-2-0-tdci-swb-l1h1-base-ID7HrTie.html
Volkswagen Passat CC 2.0 TDI DPF DSG,2010,366677,170,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-cc-2-0-tdi-dpf-dsg-ID7Hs9YV.html
Toyota Prius (Hybrid) Comfort,2010,249000,99,Hibrid,8 300EUR,https://www.autovit.ro/autoturisme/anunt/toyota-prius-hybrid-comfort-ID7Ho3Gk.html
Dacia Duster 1.5 dCi 4x4 Laureate,2014,193000,110,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/dacia-duster-1-5-dci-4x4-laureate-ID7Hs9So.html
Mini Paceman,2014,217000,111,Diesel,8 300EUR,https://www.autovit.ro/autoturisme/anunt/mini-paceman-ID7Hqcbr.html
Seat Ibiza,2017,163641,95,Benzina,8 300EUR(6 975 EUR - net),https://www.autovit.ro/autoturisme/anunt/seat-ibiza-ID7HpoWQ.html
Dacia Logan,2019,152500,90,Benzina+GPL,8 300EUR(6 975 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-logan-ID7HrXIy.html
Dacia Logan,2019,161000,90,Benzina,8 300EUR(6 975 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-logan-ID7HrXKP.html
Renault Clio IV dCi Zen,2019,50444,90,Diesel,8 319EUR,https://www.autovit.ro/autoturisme/anunt/renault-clio-iv-dci-zen-ID7Hs3TI.html
Volkswagen Tiguan 2.0 TDI DPF 4Motion Track&Field,2009,239410,140,Diesel,8 320EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-2-0-tdi-dpf-4motion-track-field-ID7Hp8vn.html
Fiat Tipo 1.4 Easy,2019,116700,95,Benzina+GPL,8 330EUR(7 000 EUR - net),https://www.autovit.ro/autoturisme/anunt/fiat-tipo-1-4-easy-ID7HkzBr.html
Peugeot 308 1.5 BlueHDI FAP STT Allure,2019,197000,130,Diesel,8 330EUR(7 000 EUR - net),https://www.autovit.ro/autoturisme/anunt/peugeot-308-1-5-bluehdi-fap-stt-allure-ID7HnyGg.html
Dacia Logan 1.5 Blue dCi Ambiance,2019,129000,75,Diesel,8 330EUR(7 000 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-logan-1-5-blue-dci-ambiance-ID7HmZSg.html
Dacia Logan 0.9 TCe SL PLUS,2019,103000,90,Benzina,8 330EUR(7 000 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-logan-0-9-tce-sl-plus-ID7HnQlj.html
Nissan Qashqai+2,2012,173993,110,Diesel,8 333EUR,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-2-ID7HqT2Q.html
Dacia Logan 1.0 SCe Ambiance,2019,66000,73,Benzina,8 349EUR(7 016 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-logan-1-0-sce-ambiance-ID7HrBSF.html
Opel Astra 1.6 D (CDTI) Sports Tourer Edition,2016,188449,110,Diesel,8 349EUR(7 016 EUR - net),https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-d-cdti-sports-tourer-edition-ID7HqMxT.html
Mazda 3 CD150 Revolution,2015,219000,150,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/mazda-3-cd150-revolution-ID7HrBhD.html
BMW X3 xDrive20d Aut.,2008,150000,177,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x3-xdrive20d-aut-ID7HrCXK.html
Peugeot 308 PureTech 110 Active Pack,2020,131418,110,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-308-puretech-110-active-pack-ID7HqqWs.html
Peugeot 308 PureTech 110 Active Pack,2020,131418,110,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-308-puretech-110-active-pack-ID7HqqWs.html
Volkswagen Touran,2013,134567,105,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-touran-ID7H0c4C.html
Nissan Juke,2014,146020,115,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/nissan-juke-ID7HrL58.html
Acura MDX,2011,179770,300,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/acura-mdx-ID7Hrxom.html
Opel Mokka X 1.6 CDTI ECOTEC START/STOP Enjoy,2015,162000,136,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/opel-mokka-x-1-6-cdti-ecotec-start-stop-enjoy-ID7HmRcO.html
Mitsubishi ASX,2012,136000,115,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/mitsubishi-asx-ID7HoIwh.html
BMW Seria 3 320i,2011,179000,170,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-320i-ID7HrTwG.html
Volkswagen Passat,2013,249000,140,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HqPH7.html
Opel Astra 1.0 Turbo Start/Stop Sports Tourer Business,2019,221232,105,Benzina,8 349EUR(7 016 EUR - net),https://www.autovit.ro/autoturisme/anunt/opel-astra-1-0-turbo-start-stop-sports-tourer-business-ID7HqGv9.html
Mercedes-Benz C 200 CDI DPF (BlueEFFICIENCY) 7G-TRONIC,2012,193000,136,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-200-cdi-dpf-blueefficiency-7g-tronic-ID7HrN0p.html
Volvo V40 D4 Momentum,2014,169000,190,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/volvo-v40-d4-momentum-ID7Hs7ez.html
Renault Koleos 2.0 dCi FAP 4x4 Bose Edition,2012,170000,150,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/renault-koleos-2-0-dci-fap-4x4-bose-edition-ID7HqHCl.html
Hyundai ix35 1.7 CRDI 2WD Comfort,2013,182000,115,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/hyundai-ix35-1-7-crdi-2wd-comfort-ID7Hryou.html
Ford Fiesta 1.0 EcoBoost Powershift Trend,2017,95000,100,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/ford-fiesta-1-0-ecoboost-powershift-trend-ID7HpEFy.html
Jaguar XF 3.0D Premium Luxury Aut,2010,140000,211,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/jaguar-xf-3-0d-premium-luxury-aut-ID7HscUV.html
Renault Grand Scenic 1.5 dCi EDC Privilege,2014,127011,110,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/renault-grand-scenic-1-5-dci-edc-privilege-ID7H1339.html
Nissan Juke 1.5 dCi Tekna,2016,198000,110,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/nissan-juke-1-5-dci-tekna-ID7HqUsu.html
Skoda Fabia Combi 1.0 TSI Style,2020,130700,110,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-combi-1-0-tsi-style-ID7Hs3lJ.html
Opel Corsa 1.4 ECOTEC Active,2019,95412,90,Benzina,8 350EUR,https://www.autovit.ro/autoturisme/anunt/opel-corsa-1-4-ecotec-active-ID7HqXtg.html
Volkswagen Golf,2015,126000,105,Diesel,8 350EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7Hsg5G.html
Dacia Sandero 0.9 TCe Laureate,2019,104727,90,Benzina,8 350EUR(7 017 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-sandero-0-9-tce-laureate-ID7Hs3hP.html
Renault Clio IV dCi Zen,2019,114343,90,Diesel,8 350EUR(7 017 EUR - net),https://www.autovit.ro/autoturisme/anunt/renault-clio-iv-dci-zen-ID7Hs4RJ.html
Renault Clio IV dCi Zen,2019,92292,90,Diesel,8 350EUR(7 017 EUR - net),https://www.autovit.ro/autoturisme/anunt/renault-clio-iv-dci-zen-ID7Hs4RR.html
Nissan Qashqai 1.2 DIG-T TEKNA,2015,176000,115,Benzina,8 360EUR,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-1-2-dig-t-tekna-ID7Hn7s4.html
Seat Leon 1.2 TSI,2018,48000,85,Benzina,8 380EUR,https://www.autovit.ro/autoturisme/anunt/seat-leon-1-2-tsi-ID7HqTWP.html
Renault Clio IV 1.5 Energy dCi 90 Expression,2019,58500,90,Diesel,8 388EUR,https://www.autovit.ro/autoturisme/anunt/renault-clio-iv-1-5-energy-dci-90-expression-ID7HrSpt.html
Volkswagen Passat Variant 2.0 TDI 4Motion BlueMotion Technology Highline,2012,216000,140,Diesel,8 388EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-2-0-tdi-4motion-bluemotion-technology-highline-ID7HjRne.html
Volkswagen Tiguan 2.0 TSI 4Motion DSG Team,2010,280100,200,Benzina,8 390EUR(7 050 EUR - net),https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-2-0-tsi-4motion-dsg-team-ID7GWxqv.html
Dacia Logan 1.0 SCe Laureate,2019,58000,73,Benzina,8 390EUR(7 050 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-logan-1-0-sce-laureate-ID7HmStq.html
Opel Astra 1.6 CDTI DPF ecoFLEX Start/Stop Exklusiv,2016,169000,136,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-cdti-dpf-ecoflex-start-stop-exklusiv-ID7Hrx6f.html
Nissan Qashqai 1.6 visia Start/Stop,2012,162283,117,Benzina,8 390EUR,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-1-6-visia-start-stop-ID7Hs4PU.html
Volkswagen Tiguan 1.4 TSI BlueMotion Technology Cup Sport & Style,2014,196530,122,Benzina,8 390EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-1-4-tsi-bluemotion-technology-cup-sport-style-ID7HrKx9.html
Nissan Qashqai+2,2013,239000,150,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-2-ID7HpyoY.html
Dacia Sandero Stepway 0.9 TCe SL Techroad,2020,146000,90,Benzina,8 390EUR,https://www.autovit.ro/autoturisme/anunt/dacia-sandero-stepway-0-9-tce-sl-techroad-ID7HrTiU.html
Ford Kuga 2.0 TDCi 4x4 Aut. Titanium,2015,219000,163,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/ford-kuga-2-0-tdci-4x4-aut-titanium-ID7HpRv4.html
BMW X1,2010,220000,204,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-ID7HmBEo.html
Volkswagen Polo 1.4 DSG Comfortline,2013,189200,85,Benzina,8 390EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-1-4-dsg-comfortline-ID7HpTK7.html
Volkswagen Caddy 1.6 TDI BlueMotion Comfortline,2014,191838,102,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-caddy-1-6-tdi-bluemotion-comfortline-ID7Hs4O5.html
Opel Astra 1.6 D Start/Stop Innovation,2018,160000,136,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-d-start-stop-innovation-ID7Hs9Ro.html
Skoda Octavia 1.6 TDI Ambition Greenline,2017,269566,110,Diesel,8 390EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-1-6-tdi-ambition-greenline-ID7HklLt.html
Fiat 500 1.2 8V Pop-Star,2016,86000,69,Benzina,8 390EUR,https://www.autovit.ro/autoturisme/anunt/fiat-500-1-2-8v-pop-star-ID7HlAuM.html
Renault Clio IV 0.9 TCe Life,2018,121900,90,Benzina,8 390EUR(7 050 EUR - net),https://www.autovit.ro/autoturisme/anunt/renault-clio-iv-0-9-tce-life-ID7HhRnj.html
Fiat 500 Cabrio Mild Hybrid 1.0 Cult,2022,87222,70,Benzina,8 395EUR,https://www.autovit.ro/autoturisme/anunt/fiat-500-cabrio-mild-hybrid-1-0-cult-ID7HpTvj.html
Volkswagen Tiguan 2.0 TDI 4Motion DSG Track & Field,2011,301000,140,Diesel,8 399EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-2-0-tdi-4motion-dsg-track-field-ID7H822T.html
Skoda Octavia 2.0 TDI (Green tec) DSG Joy,2017,306000,150,Diesel,8 399EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-2-0-tdi-green-tec-dsg-joy-ID7HprJ2.html
Volkswagen Passat,2012,97700,122,Benzina,8 399EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HoU5R.html
Volkswagen Beetle 1.2 TSI DSG,2012,180000,105,Benzina,8 399EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-beetle-1-2-tsi-dsg-ID7HnuoY.html
Opel Insignia 2.0 CDTI Automatik Business Innovation,2018,229000,170,Diesel,8 399EUR,https://www.autovit.ro/autoturisme/anunt/opel-insignia-2-0-cdti-automatik-business-innovation-ID7HrVhY.html
Peugeot 308 SW PureTech 130 Allure,2018,178000,130,Benzina,8 399EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-308-sw-puretech-130-allure-ID7HqG8d.html
Renault Clio IV dCi Energy Life,2019,55000,90,Diesel,8 399EUR(7 058 EUR - net),https://www.autovit.ro/autoturisme/anunt/renault-clio-iv-dci-energy-life-ID7HrLK1.html
BMW Seria 3 320d xDrive,2009,255000,177,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-320d-xdrive-ID7HqUKU.html
Volkswagen Golf Variant 2.0 TDI BlueMotion Technology Allstar,2014,237000,150,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-variant-2-0-tdi-bluemotion-technology-allstar-ID7Hprr5.html
Volkswagen Tiguan 2.0 TDI 4Motion Trend & Fun,2011,226000,140,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-2-0-tdi-4motion-trend-fun-ID7HqZUL.html
Volkswagen Golf,2016,252000,110,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7HrzOc.html
Audi A4 2.0 TDI DPF multitronic Attraction,2013,234000,150,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-2-0-tdi-dpf-multitronic-attraction-ID7HrxBn.html
Audi A4 Allroad quattro 3.0 TDI DPF S tronic,2011,385000,240,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-allroad-quattro-3-0-tdi-dpf-s-tronic-ID7HryPX.html
Volvo V60 D5 Start-Stop Rdesign,2012,272000,215,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volvo-v60-d5-start-stop-rdesign-ID7HovfM.html
Citroën DS5,2013,150000,200,Hibrid,8 400EUR,https://www.autovit.ro/autoturisme/anunt/citron-ds5-ID7HrBcn.html
Opel Crossland X 1.2 Start/Stop Automatik Design Line,2017,220000,110,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/opel-crossland-x-1-2-start-stop-automatik-design-line-ID7Hpdc4.html
Volkswagen Touran 2.0 TDI DPF DSG Highline,2011,225000,177,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-touran-2-0-tdi-dpf-dsg-highline-ID7Hp9C6.html
Dacia Duster 1.5 dCi 4x2 Ambiance,2015,163000,90,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/dacia-duster-1-5-dci-4x2-ambiance-ID7HrJ7h.html
Volkswagen Golf 1.4 TSI BlueMotion Technology Comfortline,2013,185277,122,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-4-tsi-bluemotion-technology-comfortline-ID7HfdXb.html
Mercedes-Benz E 200 CDI BlueEfficiency Aut.,2010,323388,136,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-e-200-cdi-blueefficiency-aut-ID7HprjF.html
Audi A5 2.0 TDI DPF,2010,215400,170,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/audi-a5-2-0-tdi-dpf-ID7HrT7C.html
Dacia Duster 1.2 TCe 4x2 Laureate,2015,123197,125,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/dacia-duster-1-2-tce-4x2-laureate-ID7HckHX.html
Hyundai i20 1.25 84CP M/T Comfort,2019,71838,84,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/hyundai-i20-1-25-84cp-m-t-comfort-ID7HrAHr.html
BMW Seria 3,2008,154000,177,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HpUdA.html
BMW X1 xDrive18d xLine,2012,251000,143,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive18d-xline-ID7HrVzr.html
Volkswagen Polo 1.6 TDI DPF DSG Highline,2014,229300,90,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-1-6-tdi-dpf-dsg-highline-ID7HrSdF.html
SsangYong REXTON W 2.0 D20 DTR 4WD Sapphire,2014,147349,155,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/ssangyong-rexton-w-2-0-d20-dtr-4wd-sapphire-ID7HrDjO.html
Volkswagen Passat CC 2.0 TDI BlueMotion Technology DSG,2014,265145,170,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-cc-2-0-tdi-bluemotion-technology-dsg-ID7Hs54T.html
Skoda RAPID 1.0 TSI Ambition,2019,158000,95,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/skoda-rapid-1-0-tsi-ambition-ID7HrTho.html
Opel Astra Sport Tourer 1.6 CDTI ECOTEC Start/Stop Dynamic,2018,176000,136,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-sport-tourer-1-6-cdti-ecotec-start-stop-dynamic-ID7HrxEf.html
Volkswagen Golf 1.0 TSI Trendline,2018,138000,115,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-0-tsi-trendline-ID7HrcfO.html
Dacia Duster 1.5 dCi 4x4 Ambiance,2015,199999,110,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/dacia-duster-1-5-dci-4x4-ambiance-ID7HpEC5.html
Volkswagen Passat Variant 2.0 TDI 4Motion BlueMotion Technology Comfortline,2012,115666,140,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-2-0-tdi-4motion-bluemotion-technology-comfortline-ID7HrSHo.html
BMW Seria 5 525d,2010,320000,204,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-525d-ID7Hs4Y8.html
Volkswagen Jetta 1.6 TDI CR DPF DSG Comfortline,2014,174000,105,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-jetta-1-6-tdi-cr-dpf-dsg-comfortline-ID7Hm4en.html
Audi A5,2010,166426,239,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/audi-a5-ID7Hk959.html
Dacia Logan ECO-G 100 MT6 Comfort,2020,118940,100,Benzina+GPL,8 400EUR,https://www.autovit.ro/autoturisme/anunt/dacia-logan-eco-g-100-mt6-comfort-ID7HqQZw.html
Volkswagen Transporter,2013,267750,Volkswagen Transporter,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-transporter-ID7HqOeV.html
BMW Seria 5,2013,322000,245,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ID7Hsdks.html
Volkswagen Jetta 1.4 TSI Comfortline DSG,2012,212852,122,Benzina,8 400EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-jetta-1-4-tsi-comfortline-dsg-ID7Howow.html
Dacia Dokker 1.5 dCi 90 CP Laureate,2018,134000,90,Diesel,8 400EUR,https://www.autovit.ro/autoturisme/anunt/dacia-dokker-1-5-dci-90-cp-laureate-ID7Hrz8l.html
